字段名,字段类型,字段注释
user_id,VARCHAR,用户唯一标识
uid,VARCHAR,用户ID
user_name,VARCHAR,用户登录名
username,VARCHAR,用户名
real_name,VARCHAR,用户真实姓名
mobile_phone,VARCHAR,手机号码
phone,VARCHAR,手机号
email_address,VARCHAR,电子邮箱地址
email,VARCHAR,邮箱
gender,SMALLINT,性别（0女/1男/2未知）
birth_date,DATE,出生日期
register_time,TIMESTAMP,注册时间
last_login_time,TIMESTAMP,最后登录时间
user_status,SMALLINT,用户状态（0禁用/1正常/2冻结）
status,SMALLINT,状态（0禁用/1启用）
is_deleted,SMALLINT,逻辑删除标志（0未删除/1已删除）
deleted,SMALLINT,删除标志（0否/1是）
del_flag,SMALLINT,删除标记（0未删除/1已删除）
is_del,SMALLINT,是否删除（0否/1是）
created_by,VARCHAR,创建人ID
create_user,VARCHAR,创建人
creator,VARCHAR,创建者
created_at,TIMESTAMP,创建时间
create_time,TIMESTAMP,创建时间
create_date,TIMESTAMP,创建日期
updated_by,VARCHAR,更新人ID
update_user,VARCHAR,更新人
modifier,VARCHAR,修改者
updated_at,TIMESTAMP,更新时间
update_time,TIMESTAMP,更新时间
update_date,TIMESTAMP,更新日期
product_id,VARCHAR,商品唯一标识
prod_id,VARCHAR,商品ID
product_name,VARCHAR,商品名称
prod_name,VARCHAR,商品名称
product_code,VARCHAR,商品编码
category_id,VARCHAR,商品分类ID
category_name,VARCHAR,商品分类名称
brand_name,VARCHAR,品牌名称
unit_price,NUMERIC,商品单价（元）
price,NUMERIC,单价（元）
stock_quantity,INTEGER,库存数量
qty,INTEGER,数量
quantity,INTEGER,数量
product_status,SMALLINT,商品状态（0下架/1上架/2预售）
order_id,VARCHAR,订单唯一标识
order_no,VARCHAR,订单编号
total_amount,NUMERIC,订单总金额（元）
amount,NUMERIC,金额（元）
discount_amount,NUMERIC,优惠金额（元）
payment_amount,NUMERIC,实付金额（元）
order_status,SMALLINT,订单状态（0待支付/1已支付/2配送中/3已完成/4已取消）
payment_status,SMALLINT,支付状态（0未支付/1已支付/2退款中/3已退款）
payment_method,VARCHAR,支付方式（alipay/wechat/bank）
order_time,TIMESTAMP,下单时间
payment_time,TIMESTAMP,支付时间
delivery_time,TIMESTAMP,发货时间
complete_time,TIMESTAMP,完成时间
receiver,VARCHAR,收货人姓名
province,VARCHAR,省份
city,VARCHAR,城市
district,VARCHAR,区县
address,VARCHAR,详细地址
is_default,SMALLINT,是否默认地址（0否/1是）
rating,SMALLINT,评分（1-5星）
review_content,TEXT,评价内容
review_images,TEXT,评价图片
change_qty,INTEGER,变更数量
before_qty,INTEGER,变更前数量
after_qty,INTEGER,变更后数量
change_type,SMALLINT,变更类型（1出库/2入库/3调整）
change_reason,VARCHAR,变更原因
operator_id,VARCHAR,操作人ID
operate_time,TIMESTAMP,操作时间
remark,TEXT,备注说明
remarks,TEXT,备注
description,TEXT,描述
note,TEXT,说明
